,CellType,annotLevel,p,fold_change,sd_from_mean,q
Glutamatergic_IT,Glutamatergic_IT,1,0.0011,1.37512217866581,3.75562285601524,0.0107666666666667
GABAergic_LAMP5,GABAergic_LAMP5,1,0.0013,1.40289336180839,3.70758492956259,0.0107666666666667
Glutamatergic_L4_IT,Glutamatergic_L4_IT,1,0.0019,1.43119519965493,3.75632154608469,0.0107666666666667
Glutamatergic_L5_6_IT_Car3,Glutamatergic_L5_6_IT_Car3,1,0.0046,1.38467422892218,3.06838639157056,0.01955
GABAergic_PAX6,GABAergic_PAX6,1,0.0069,1.36346911448046,2.95947415834906,0.02346
GABAergic_SST,GABAergic_SST,1,0.0087,1.33072939035235,2.95219842704815,0.02465
Glutamatergic_L6_CT,Glutamatergic_L6_CT,1,0.0105,1.27874893068225,2.65481159974822,0.0255
GABAergic_PVALB,GABAergic_PVALB,1,0.0143,1.27615016703738,2.49222767864135,0.0303875
OPC,OPC,1,0.017,1.34606495968017,2.38795776469991,0.0321111111111111
Glutamatergic_L5_6_NP,Glutamatergic_L5_6_NP,1,0.0299,1.28944706765546,2.16728311973293,0.05083
Microglia,Microglia,1,0.0372,1.36415111400495,1.93484578389891,0.0574909090909091
GABAergic_VIP,GABAergic_VIP,1,0.0479,1.22827778621147,1.82724191184867,0.0615642857142857
Glutamatergic_L6b,Glutamatergic_L6b,1,0.0505,1.22240258365924,1.79867291896555,0.0615642857142857
Oligodendrocyte,Oligodendrocyte,1,0.0507,1.29663255708054,1.76178441596302,0.0615642857142857
Vascular_cells,Vascular_cells,1,0.1444,1.20968682638378,1.05815697996028,0.163653333333333
Glutamatergic_L5_ET,Glutamatergic_L5_ET,1,0.2117,1.10690142095461,0.741488409624403,0.22493125
Astrocyte,Astrocyte,1,0.2252,1.11244966399373,0.708259817135774,0.2252
