,CellType,annotLevel,p,fold_change,sd_from_mean,q
Glutamatergic_L5_6_IT_Car3,Glutamatergic_L5_6_IT_Car3,1,0,2.70608542834499,11.892044748745,0
Glutamatergic_L4_IT,Glutamatergic_L4_IT,1,0,2.18258083385206,9.50809322391937,0
GABAergic_PAX6,GABAergic_PAX6,1,0,2.00953216743978,7.17915121916137,0
GABAergic_LAMP5,GABAergic_LAMP5,1,0,1.82413028212664,6.55920533275646,0
GABAergic_SST,GABAergic_SST,1,0,1.9020700514807,6.45086703541454,0
GABAergic_VIP,GABAergic_VIP,1,0,1.72057572173307,4.94829697576492,0
Glutamatergic_L5_6_NP,Glutamatergic_L5_6_NP,1,3e-04,1.61132583742328,4.16935919758604,0.000728571428571428
Glutamatergic_IT,Glutamatergic_IT,1,4e-04,1.60622091114717,4.54012008178006,0.00085
GABAergic_PVALB,GABAergic_PVALB,1,7e-04,1.51266021775072,3.96590813833676,0.00132222222222222
Glutamatergic_L6b,Glutamatergic_L6b,1,8e-04,1.62145691739924,4.170025182286,0.00136
Glutamatergic_L6_CT,Glutamatergic_L6_CT,1,0.0104,1.37626073068541,2.83394555231464,0.0160727272727273
Vascular_cells,Vascular_cells,1,0.0214,1.47328616790303,2.18784892990732,0.0303166666666667
OPC,OPC,1,0.0246,1.35836029504545,2.1924462071904,0.0321692307692308
Microglia,Microglia,1,0.0294,1.42742298067901,2.0632396625908,0.0357
Oligodendrocyte,Oligodendrocyte,1,0.0541,1.3066107671984,1.69949770960914,0.0613133333333333
Glutamatergic_L5_ET,Glutamatergic_L5_ET,1,0.2014,1.14002741805873,0.789208902546179,0.2139875
Astrocyte,Astrocyte,1,0.5941,0.946171614393988,-0.304238412152045,0.5941
