,CellType,annotLevel,p,fold_change,sd_from_mean,q
Exc_L6_THEMIS_EGR3,Exc_L6_THEMIS_EGR3,2,0.0034,1.62749862241623,3.46872064994232,0.1132
Exc_L2_4_RORB_GRIK1,Exc_L2_4_RORB_GRIK1,2,0.0051,1.49280973831146,3.12363262962594,0.1132
Exc_L4_5_RORB_RPL31P31,Exc_L4_5_RORB_RPL31P31,2,0.0074,1.55838608699309,3.42060222602551,0.1132
Exc_L4_6_RORB_HPCA,Exc_L4_6_RORB_HPCA,2,0.0076,1.74730132354478,3.46657406042119,0.1132
Exc_L4_RORB_BHLHE22,Exc_L4_RORB_BHLHE22,2,0.0111,1.58727861987867,2.75630222166994,0.1132
Exc_L6_THEMIS_LINC00343,Exc_L6_THEMIS_LINC00343,2,0.0122,1.45462137564912,2.74914052103697,0.1132
Inh_L6_LAMP5_ANKRD20A11P,Inh_L6_LAMP5_ANKRD20A11P,2,0.0161,2.24565596128052,2.7579041760846,0.1132
Exc_L2_3_LINC00507_RPL9P17,Exc_L2_3_LINC00507_RPL9P17,2,0.0166,1.42316594707895,2.31123769626316,0.1132
Inh_L3_5_SST_MAFB,Inh_L3_5_SST_MAFB,2,0.0168,1.51353144210858,2.67138100916923,0.1132
Inh_L1_SST_CXCL14,Inh_L1_SST_CXCL14,2,0.0171,1.54970382615662,2.51905124951964,0.1132
Inh_L1_6_VIP_RGS16,Inh_L1_6_VIP_RGS16,2,0.0174,1.5471545491293,2.43913510933813,0.1132
Inh_L1_PAX6_CA4,Inh_L1_PAX6_CA4,2,0.0177,1.60681532553274,2.80635869380108,0.1132
Exc_L5_6_THEMIS_TMEM233,Exc_L5_6_THEMIS_TMEM233,2,0.0187,1.46985820521223,2.46395275315486,0.1132
Inh_L1_LAMP5_NDNF,Inh_L1_LAMP5_NDNF,2,0.0202,1.53818682118425,2.14871108153483,0.1132
Inh_L4_6_SST_MTHFD2P6,Inh_L4_6_SST_MTHFD2P6,2,0.0213,1.44421830926453,2.45578933815245,0.1132
